,Actual_Price,CompanyName,Discount,Discount_Price,MobileName,Ratings,Reviews,Stars
139,"12,990",OPPO,15,"10,990","OPPO A33 (Mint Cream, 32 GB)",292,21,4.1
140,"13,999",Tecno,14,"11,999","Tecno POVA (Speed Purple, 128 GB)",0,0,0
141,"11,999",Tecno,16,"9,999","Tecno POVA (Magic Blue, 64 GB)",564,55,4.4
142,"2,499",Micromax,48,"1,289",Micromax X741,"30,786","3,211",4
143,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Black, 128 GB)","1,62,915","21,368",4.3
144,"1,099",Lava,21,865,Lava A1 Josh,"14,158","1,539",4.2
145,"1,099",Lava,21,865,Lava A1 Josh,"14,158","1,539",4.2
146,"18,999",Infinix,15,"15,999","Infinix Zero 8i (Silver Diamond, 128 GB)","1,091",186,4.2
147,"17,990",OPPO,13,"15,490","OPPO A53 (Fancy Blue, 128 GB)","2,476",177,4.2
148,"15,990",OPPO,18,"12,990","OPPO A53 (Electric Black, 64 GB)","12,249",931,4.3
149,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Blue, 128 GB)","1,62,915","21,368",4.3
150,"22,999",Realme,4,"21,999","Realme 7 Pro (Sun Kissed Leather, 128 GB)","18,379","1,878",4.4
151,"22,999",Realme,4,"21,999","Realme 7 Pro (Mirror Blue, 128 GB)","18,379","1,878",4.4
152,"20,999",Realme,4,"19,999","Realme 7 Pro (Mirror Blue, 128 GB)","51,905","5,686",4.4
153,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Green, 128 GB)","1,62,915","21,368",4.3
154,"19,999",POCO,20,"15,999","POCO M2 Pro (Two Shades of Black, 128 GB)","1,77,868","18,761",4.4
155,"20,990",Vivo,9,"18,990","Vivo S1 Pro (Jazzy Blue, 128 GB)","24,183","1,924",4.4
156,"20,990",Vivo,9,"18,990","Vivo S1 Pro (Dreamy White, 128 GB)","24,183","1,924",4.4
157,"20,990",Vivo,9,"18,990","Vivo S1 Pro (Mystic Black, 128 GB)","24,183","1,924",4.4
158,"1,344",Samsung,0,"1,344",Samsung Guru 1200,"1,42,507","13,115",4.3
159,"15,990",OPPO,18,"12,990","OPPO A53 (Fairy White, 64 GB)","12,249",931,4.3
160,"10,999",Redmi,15,"9,299","Redmi 9i (Midnight Black, 128 GB)","1,26,716","7,318",4.3
161,"1,119",Lava,19,897,Lava A1,"83,057","9,373",4.2
162,"1,119",Lava,19,897,Lava A1,"13,537","1,342",4.2
163,"19,999",Samsung,22,"15,499","Samsung Galaxy F41 (Fusion Blue, 64 GB)","1,62,915","21,368",4.3
164,"1,119",Lava,19,897,Lava A1,"83,057","9,373",4.2
165,"1,119",Lava,19,897,Lava A1,"13,537","1,342",4.2
166,"1,119",Lava,19,897,Lava A1,"13,537","1,342",4.2
167,"12,999",Motorola,26,"9,499","Motorola E7 Plus (Misty Blue, 64 GB)","28,589","2,718",4.2
168,"21,990",Vivo,18,"17,990","Vivo Y51 (Crystal Symphony, 128 GB)",65,3,4.5
169,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Blue, 128 GB)","1,62,915","21,368",4.3
170,"10,999",Realme,9,"9,999","Realme Narzo 10A (So White, 64 GB)","82,664","4,924",4.5
171,"9,999",Realme,10,"8,999","Realme Narzo 10A (So White, 32 GB)","51,617","3,637",4.5
172,"10,999",Realme,9,"9,999","Realme Narzo 10A (So Blue, 64 GB)","82,664","4,924",4.5
173,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Green, 128 GB)","1,62,915","21,368",4.3
174,"15,999",OPPO,0,"15,999","OPPO A52 (Twilight Black, 128 GB)","35,974","2,605",4.4
175,"17,990",OPPO,0,"17,990","OPPO A52 (Stream White, 128 GB)",43,2,4.3
176,"31,999",Realme,18,"25,999","Realme X3 SuperZoom (Glacier Blue, 256 GB)","4,348",496,4.3
177,"31,999",Realme,18,"25,999","Realme X3 SuperZoom (Arctic White, 256 GB)","4,348",496,4.3
178,"17,999",OPPO,0,"17,999","OPPO A52 (Twilight Black, 128 GB)",43,2,4.3
179,"15,990",OPPO,18,"12,990","OPPO A53 (Fairy White, 64 GB)","12,249",931,4.3
180,"11,999",Infinix,20,"9,499","Infinix Hot 9 (Violet, 64 GB)","96,715","7,043",4.4
